filterType,filterOpt,splitByOpt,splitByOpt_category,responseOpt
State,TN,Rural/Urban,Rural,Serving nationally
State,TN,Rural/Urban,Urban,Serving nationally
State,TX,"","",Serving nationally
State,TX,Size,"< $100,000",Serving nationally
State,TX,Size,"$100,000 - $499,999",Serving nationally
State,TX,Size,"$500,000 - $999,999",Serving nationally
State,TX,Size,"$1 million - $9,999,999",Serving nationally
State,TX,Size,$10 million and above,Serving nationally
State,TX,Sector,"Arts, culture, and humanities",Serving nationally
State,TX,Sector,Education,Serving nationally
State,TX,Sector,Environment and animals,Serving nationally
State,TX,Sector,Health,Serving nationally
State,TX,Sector,Human services,Serving nationally
State,TX,Sector,"International, foreign affairs",Serving nationally
State,TX,Sector,"Public, societal benefit",Serving nationally
State,TX,Rural/Urban,Rural,Serving nationally
State,TX,Rural/Urban,Urban,Serving nationally
State,UT,"","",Serving nationally
State,UT,Size,"< $100,000",Serving nationally
State,UT,Size,"$100,000 - $499,999",Serving nationally
State,UT,Size,"$500,000 - $999,999",Serving nationally
State,UT,Size,"$1 million - $9,999,999",Serving nationally
State,UT,Size,$10 million and above,Serving nationally
State,UT,Sector,"Arts, culture, and humanities",Serving nationally
State,UT,Sector,Education,Serving nationally
State,UT,Sector,Environment and animals,Serving nationally
State,UT,Sector,Health,Serving nationally
State,UT,Sector,Human services,Serving nationally
State,UT,Sector,"International, foreign affairs",Serving nationally
State,UT,Sector,"Public, societal benefit",Serving nationally
State,UT,Rural/Urban,Rural,Serving nationally
State,UT,Rural/Urban,Urban,Serving nationally
State,VT,"","",Serving nationally
State,VT,Size,"< $100,000",Serving nationally
State,VT,Size,"$100,000 - $499,999",Serving nationally
State,VT,Size,"$500,000 - $999,999",Serving nationally
State,VT,Size,"$1 million - $9,999,999",Serving nationally
State,VT,Size,$10 million and above,Serving nationally
State,VT,Sector,"Arts, culture, and humanities",Serving nationally
State,VT,Sector,Education,Serving nationally
State,VT,Sector,Environment and animals,Serving nationally
State,VT,Sector,Health,Serving nationally
State,VT,Sector,Human services,Serving nationally
State,VT,Sector,"International, foreign affairs",Serving nationally
State,VT,Sector,"Public, societal benefit",Serving nationally
State,VT,Rural/Urban,Rural,Serving nationally
State,VT,Rural/Urban,Urban,Serving nationally
State,VA,"","",Serving nationally
State,VA,Size,"< $100,000",Serving nationally
State,VA,Size,"$100,000 - $499,999",Serving nationally
State,VA,Size,"$500,000 - $999,999",Serving nationally
State,VA,Size,"$1 million - $9,999,999",Serving nationally
State,VA,Size,$10 million and above,Serving nationally
State,VA,Sector,"Arts, culture, and humanities",Serving nationally
State,VA,Sector,Education,Serving nationally
State,VA,Sector,Environment and animals,Serving nationally
State,VA,Sector,Health,Serving nationally
State,VA,Sector,Human services,Serving nationally
State,VA,Sector,"International, foreign affairs",Serving nationally
State,VA,Sector,"Public, societal benefit",Serving nationally
State,VA,Rural/Urban,Rural,Serving nationally
State,VA,Rural/Urban,Urban,Serving nationally
State,WA,"","",Serving nationally
State,WA,Size,"< $100,000",Serving nationally
State,WA,Size,"$100,000 - $499,999",Serving nationally
State,WA,Size,"$500,000 - $999,999",Serving nationally
State,WA,Size,"$1 million - $9,999,999",Serving nationally
State,WA,Size,$10 million and above,Serving nationally
State,WA,Sector,"Arts, culture, and humanities",Serving nationally
State,WA,Sector,Education,Serving nationally
State,WA,Sector,Environment and animals,Serving nationally
State,WA,Sector,Health,Serving nationally
State,WA,Sector,Human services,Serving nationally
State,WA,Sector,"International, foreign affairs",Serving nationally
State,WA,Sector,"Public, societal benefit",Serving nationally
State,WA,Rural/Urban,Rural,Serving nationally
State,WA,Rural/Urban,Urban,Serving nationally
State,WV,"","",Serving nationally
State,WV,Size,"< $100,000",Serving nationally
State,WV,Size,"$100,000 - $499,999",Serving nationally
State,WV,Size,"$500,000 - $999,999",Serving nationally
State,WV,Size,"$1 million - $9,999,999",Serving nationally
State,WV,Size,$10 million and above,Serving nationally
State,WV,Sector,"Arts, culture, and humanities",Serving nationally
State,WV,Sector,Education,Serving nationally
State,WV,Sector,Environment and animals,Serving nationally
State,WV,Sector,Health,Serving nationally
State,WV,Sector,Human services,Serving nationally
State,WV,Sector,"International, foreign affairs",Serving nationally
State,WV,Sector,"Public, societal benefit",Serving nationally
State,WV,Rural/Urban,Rural,Serving nationally
State,WV,Rural/Urban,Urban,Serving nationally
State,WI,"","",Serving nationally
State,WI,Size,"< $100,000",Serving nationally
State,WI,Size,"$100,000 - $499,999",Serving nationally
State,WI,Size,"$500,000 - $999,999",Serving nationally
State,WI,Size,"$1 million - $9,999,999",Serving nationally
State,WI,Size,$10 million and above,Serving nationally
State,WI,Sector,"Arts, culture, and humanities",Serving nationally
State,WI,Sector,Education,Serving nationally
State,WI,Sector,Environment and animals,Serving nationally
State,WI,Sector,Health,Serving nationally
State,WI,Sector,Human services,Serving nationally
State,WI,Sector,"International, foreign affairs",Serving nationally
State,WI,Sector,"Public, societal benefit",Serving nationally
State,WI,Rural/Urban,Rural,Serving nationally
State,WI,Rural/Urban,Urban,Serving nationally
State,WY,"","",Serving nationally
State,WY,Size,"< $100,000",Serving nationally
State,WY,Size,"$100,000 - $499,999",Serving nationally
State,WY,Size,"$500,000 - $999,999",Serving nationally
State,WY,Size,"$1 million - $9,999,999",Serving nationally
State,WY,Size,$10 million and above,Serving nationally
State,WY,Sector,"Arts, culture, and humanities",Serving nationally
State,WY,Sector,Education,Serving nationally
State,WY,Sector,Environment and animals,Serving nationally
State,WY,Sector,Health,Serving nationally
State,WY,Sector,Human services,Serving nationally
State,WY,Sector,"International, foreign affairs",Serving nationally
State,WY,Sector,"Public, societal benefit",Serving nationally
State,WY,Rural/Urban,Rural,Serving nationally
State,WY,Rural/Urban,Urban,Serving nationally
National,National,"","",Serving internationally
National,National,Size,"< $100,000",Serving internationally
National,National,Size,"$100,000 - $499,999",Serving internationally
National,National,Size,"$500,000 - $999,999",Serving internationally
National,National,Size,"$1 million - $9,999,999",Serving internationally
National,National,Size,$10 million and above,Serving internationally
National,National,Sector,"Arts, culture, and humanities",Serving internationally
National,National,Sector,Education,Serving internationally
National,National,Sector,Environment and animals,Serving internationally
National,National,Sector,Health,Serving internationally
National,National,Sector,Human services,Serving internationally
National,National,Sector,"International, foreign affairs",Serving internationally
National,National,Sector,"Public, societal benefit",Serving internationally
National,National,Rural/Urban,Rural,Serving internationally
National,National,Rural/Urban,Urban,Serving internationally
National,National,Region,Northeast,Serving internationally
National,National,Region,Midwest,Serving internationally
National,National,Region,South,Serving internationally
National,National,Region,West,Serving internationally
National,National,State,AL,Serving internationally
National,National,State,AK,Serving internationally
National,National,State,AZ,Serving internationally
National,National,State,AR,Serving internationally
National,National,State,CA,Serving internationally
National,National,State,CO,Serving internationally
National,National,State,CT,Serving internationally
National,National,State,DC,Serving internationally
National,National,State,DE,Serving internationally
National,National,State,FL,Serving internationally
National,National,State,GA,Serving internationally
National,National,State,HI,Serving internationally
National,National,State,ID,Serving internationally
National,National,State,IL,Serving internationally
National,National,State,IN,Serving internationally
National,National,State,IA,Serving internationally
National,National,State,KS,Serving internationally
National,National,State,KY,Serving internationally
National,National,State,LA,Serving internationally
National,National,State,ME,Serving internationally
National,National,State,MD,Serving internationally
National,National,State,MA,Serving internationally
National,National,State,MI,Serving internationally
National,National,State,MN,Serving internationally
National,National,State,MS,Serving internationally
National,National,State,MO,Serving internationally
National,National,State,MT,Serving internationally
National,National,State,NE,Serving internationally
National,National,State,NV,Serving internationally
National,National,State,NH,Serving internationally
National,National,State,NJ,Serving internationally
National,National,State,NM,Serving internationally
National,National,State,NY,Serving internationally
National,National,State,NC,Serving internationally
National,National,State,ND,Serving internationally
National,National,State,OH,Serving internationally
National,National,State,OK,Serving internationally
National,National,State,OR,Serving internationally
National,National,State,PA,Serving internationally
National,National,State,RI,Serving internationally
National,National,State,SC,Serving internationally
National,National,State,SD,Serving internationally
National,National,State,TN,Serving internationally
National,National,State,TX,Serving internationally
National,National,State,UT,Serving internationally
National,National,State,VT,Serving internationally
National,National,State,VA,Serving internationally
National,National,State,WA,Serving internationally
National,National,State,WV,Serving internationally
National,National,State,WI,Serving internationally
National,National,State,WY,Serving internationally
Region,Northeast,"","",Serving internationally
Region,Northeast,Size,"< $100,000",Serving internationally
Region,Northeast,Size,"$100,000 - $499,999",Serving internationally
Region,Northeast,Size,"$500,000 - $999,999",Serving internationally
Region,Northeast,Size,"$1 million - $9,999,999",Serving internationally
Region,Northeast,Size,$10 million and above,Serving internationally
Region,Northeast,Sector,"Arts, culture, and humanities",Serving internationally
Region,Northeast,Sector,Education,Serving internationally
Region,Northeast,Sector,Environment and animals,Serving internationally
Region,Northeast,Sector,Health,Serving internationally
Region,Northeast,Sector,Human services,Serving internationally
Region,Northeast,Sector,"International, foreign affairs",Serving internationally
Region,Northeast,Sector,"Public, societal benefit",Serving internationally
Region,Northeast,Rural/Urban,Rural,Serving internationally
Region,Northeast,Rural/Urban,Urban,Serving internationally
Region,Northeast,State,CT,Serving internationally
Region,Northeast,State,ME,Serving internationally
Region,Northeast,State,MA,Serving internationally
Region,Northeast,State,NH,Serving internationally
Region,Northeast,State,NJ,Serving internationally
Region,Northeast,State,NY,Serving internationally
Region,Northeast,State,PA,Serving internationally
Region,Northeast,State,RI,Serving internationally
Region,Northeast,State,VT,Serving internationally
Region,Midwest,"","",Serving internationally
Region,Midwest,Size,"< $100,000",Serving internationally
Region,Midwest,Size,"$100,000 - $499,999",Serving internationally
Region,Midwest,Size,"$500,000 - $999,999",Serving internationally
Region,Midwest,Size,"$1 million - $9,999,999",Serving internationally
Region,Midwest,Size,$10 million and above,Serving internationally
Region,Midwest,Sector,"Arts, culture, and humanities",Serving internationally
Region,Midwest,Sector,Education,Serving internationally
Region,Midwest,Sector,Environment and animals,Serving internationally
Region,Midwest,Sector,Health,Serving internationally
Region,Midwest,Sector,Human services,Serving internationally
Region,Midwest,Sector,"International, foreign affairs",Serving internationally
Region,Midwest,Sector,"Public, societal benefit",Serving internationally
Region,Midwest,Rural/Urban,Rural,Serving internationally
Region,Midwest,Rural/Urban,Urban,Serving internationally
Region,Midwest,State,IL,Serving internationally
Region,Midwest,State,IN,Serving internationally
Region,Midwest,State,IA,Serving internationally
Region,Midwest,State,KS,Serving internationally
Region,Midwest,State,MI,Serving internationally
Region,Midwest,State,MN,Serving internationally
Region,Midwest,State,MO,Serving internationally
Region,Midwest,State,NE,Serving internationally
Region,Midwest,State,ND,Serving internationally
Region,Midwest,State,OH,Serving internationally
Region,Midwest,State,SD,Serving internationally
Region,Midwest,State,WI,Serving internationally
Region,South,"","",Serving internationally
Region,South,Size,"< $100,000",Serving internationally
Region,South,Size,"$100,000 - $499,999",Serving internationally
Region,South,Size,"$500,000 - $999,999",Serving internationally
Region,South,Size,"$1 million - $9,999,999",Serving internationally
Region,South,Size,$10 million and above,Serving internationally
Region,South,Sector,"Arts, culture, and humanities",Serving internationally
Region,South,Sector,Education,Serving internationally
Region,South,Sector,Environment and animals,Serving internationally
Region,South,Sector,Health,Serving internationally
Region,South,Sector,Human services,Serving internationally
Region,South,Sector,"International, foreign affairs",Serving internationally
Region,South,Sector,"Public, societal benefit",Serving internationally
Region,South,Rural/Urban,Rural,Serving internationally
Region,South,Rural/Urban,Urban,Serving internationally
Region,South,State,AL,Serving internationally
Region,South,State,AR,Serving internationally
Region,South,State,DC,Serving internationally
Region,South,State,DE,Serving internationally
Region,South,State,FL,Serving internationally
Region,South,State,GA,Serving internationally
Region,South,State,KY,Serving internationally
Region,South,State,LA,Serving internationally
Region,South,State,MD,Serving internationally
Region,South,State,MS,Serving internationally
Region,South,State,NC,Serving internationally
Region,South,State,OK,Serving internationally
Region,South,State,SC,Serving internationally
Region,South,State,TN,Serving internationally
Region,South,State,TX,Serving internationally
Region,South,State,VA,Serving internationally
Region,South,State,WV,Serving internationally
Region,West,"","",Serving internationally
Region,West,Size,"< $100,000",Serving internationally
Region,West,Size,"$100,000 - $499,999",Serving internationally
Region,West,Size,"$500,000 - $999,999",Serving internationally
Region,West,Size,"$1 million - $9,999,999",Serving internationally
Region,West,Size,$10 million and above,Serving internationally
Region,West,Sector,"Arts, culture, and humanities",Serving internationally
Region,West,Sector,Education,Serving internationally
Region,West,Sector,Environment and animals,Serving internationally
Region,West,Sector,Health,Serving internationally
Region,West,Sector,Human services,Serving internationally
Region,West,Sector,"International, foreign affairs",Serving internationally
Region,West,Sector,"Public, societal benefit",Serving internationally
Region,West,Rural/Urban,Rural,Serving internationally
Region,West,Rural/Urban,Urban,Serving internationally
Region,West,State,AK,Serving internationally
Region,West,State,AZ,Serving internationally
Region,West,State,CA,Serving internationally
Region,West,State,CO,Serving internationally
Region,West,State,HI,Serving internationally
Region,West,State,ID,Serving internationally
Region,West,State,MT,Serving internationally
Region,West,State,NV,Serving internationally
Region,West,State,NM,Serving internationally
Region,West,State,OR,Serving internationally
Region,West,State,UT,Serving internationally
Region,West,State,WA,Serving internationally
Region,West,State,WY,Serving internationally
State,AL,"","",Serving internationally
State,AL,Size,"< $100,000",Serving internationally
State,AL,Size,"$100,000 - $499,999",Serving internationally
State,AL,Size,"$500,000 - $999,999",Serving internationally
State,AL,Size,"$1 million - $9,999,999",Serving internationally
State,AL,Size,$10 million and above,Serving internationally
State,AL,Sector,"Arts, culture, and humanities",Serving internationally
State,AL,Sector,Education,Serving internationally
State,AL,Sector,Environment and animals,Serving internationally
State,AL,Sector,Health,Serving internationally
State,AL,Sector,Human services,Serving internationally
State,AL,Sector,"International, foreign affairs",Serving internationally
State,AL,Sector,"Public, societal benefit",Serving internationally
State,AL,Rural/Urban,Rural,Serving internationally
State,AL,Rural/Urban,Urban,Serving internationally
State,AK,"","",Serving internationally
State,AK,Size,"< $100,000",Serving internationally
State,AK,Size,"$100,000 - $499,999",Serving internationally
State,AK,Size,"$500,000 - $999,999",Serving internationally
State,AK,Size,"$1 million - $9,999,999",Serving internationally
State,AK,Size,$10 million and above,Serving internationally
State,AK,Sector,"Arts, culture, and humanities",Serving internationally
State,AK,Sector,Education,Serving internationally
State,AK,Sector,Environment and animals,Serving internationally
State,AK,Sector,Health,Serving internationally
State,AK,Sector,Human services,Serving internationally
State,AK,Sector,"International, foreign affairs",Serving internationally
State,AK,Sector,"Public, societal benefit",Serving internationally
State,AK,Rural/Urban,Rural,Serving internationally
State,AK,Rural/Urban,Urban,Serving internationally
State,AZ,"","",Serving internationally
State,AZ,Size,"< $100,000",Serving internationally
State,AZ,Size,"$100,000 - $499,999",Serving internationally
State,AZ,Size,"$500,000 - $999,999",Serving internationally
State,AZ,Size,"$1 million - $9,999,999",Serving internationally
State,AZ,Size,$10 million and above,Serving internationally
State,AZ,Sector,"Arts, culture, and humanities",Serving internationally
State,AZ,Sector,Education,Serving internationally
State,AZ,Sector,Environment and animals,Serving internationally
State,AZ,Sector,Health,Serving internationally
State,AZ,Sector,Human services,Serving internationally
State,AZ,Sector,"International, foreign affairs",Serving internationally
State,AZ,Sector,"Public, societal benefit",Serving internationally
State,AZ,Rural/Urban,Rural,Serving internationally
State,AZ,Rural/Urban,Urban,Serving internationally
State,AR,"","",Serving internationally
State,AR,Size,"< $100,000",Serving internationally
State,AR,Size,"$100,000 - $499,999",Serving internationally
State,AR,Size,"$500,000 - $999,999",Serving internationally
State,AR,Size,"$1 million - $9,999,999",Serving internationally
State,AR,Size,$10 million and above,Serving internationally
State,AR,Sector,"Arts, culture, and humanities",Serving internationally
State,AR,Sector,Education,Serving internationally
State,AR,Sector,Environment and animals,Serving internationally
State,AR,Sector,Health,Serving internationally
State,AR,Sector,Human services,Serving internationally
State,AR,Sector,"International, foreign affairs",Serving internationally
State,AR,Sector,"Public, societal benefit",Serving internationally
State,AR,Rural/Urban,Rural,Serving internationally
State,AR,Rural/Urban,Urban,Serving internationally
State,CA,"","",Serving internationally
State,CA,Size,"< $100,000",Serving internationally
State,CA,Size,"$100,000 - $499,999",Serving internationally
State,CA,Size,"$500,000 - $999,999",Serving internationally
State,CA,Size,"$1 million - $9,999,999",Serving internationally
State,CA,Size,$10 million and above,Serving internationally
State,CA,Sector,"Arts, culture, and humanities",Serving internationally
State,CA,Sector,Education,Serving internationally
State,CA,Sector,Environment and animals,Serving internationally
State,CA,Sector,Health,Serving internationally
State,CA,Sector,Human services,Serving internationally
State,CA,Sector,"International, foreign affairs",Serving internationally
State,CA,Sector,"Public, societal benefit",Serving internationally
State,CA,Rural/Urban,Rural,Serving internationally
State,CA,Rural/Urban,Urban,Serving internationally
State,CO,"","",Serving internationally
State,CO,Size,"< $100,000",Serving internationally
State,CO,Size,"$100,000 - $499,999",Serving internationally
State,CO,Size,"$500,000 - $999,999",Serving internationally
State,CO,Size,"$1 million - $9,999,999",Serving internationally
State,CO,Size,$10 million and above,Serving internationally
State,CO,Sector,"Arts, culture, and humanities",Serving internationally
State,CO,Sector,Education,Serving internationally
State,CO,Sector,Environment and animals,Serving internationally
State,CO,Sector,Health,Serving internationally
State,CO,Sector,Human services,Serving internationally
State,CO,Sector,"International, foreign affairs",Serving internationally
State,CO,Sector,"Public, societal benefit",Serving internationally
State,CO,Rural/Urban,Rural,Serving internationally
State,CO,Rural/Urban,Urban,Serving internationally
State,CT,"","",Serving internationally
State,CT,Size,"< $100,000",Serving internationally
State,CT,Size,"$100,000 - $499,999",Serving internationally
State,CT,Size,"$500,000 - $999,999",Serving internationally
State,CT,Size,"$1 million - $9,999,999",Serving internationally
State,CT,Size,$10 million and above,Serving internationally
State,CT,Sector,"Arts, culture, and humanities",Serving internationally
State,CT,Sector,Education,Serving internationally
State,CT,Sector,Environment and animals,Serving internationally
State,CT,Sector,Health,Serving internationally
State,CT,Sector,Human services,Serving internationally
State,CT,Sector,"International, foreign affairs",Serving internationally
State,CT,Sector,"Public, societal benefit",Serving internationally
State,CT,Rural/Urban,Rural,Serving internationally
State,CT,Rural/Urban,Urban,Serving internationally
State,DC,"","",Serving internationally
State,DC,Size,"< $100,000",Serving internationally
State,DC,Size,"$100,000 - $499,999",Serving internationally
State,DC,Size,"$500,000 - $999,999",Serving internationally
State,DC,Size,"$1 million - $9,999,999",Serving internationally
State,DC,Size,$10 million and above,Serving internationally
State,DC,Sector,"Arts, culture, and humanities",Serving internationally
State,DC,Sector,Education,Serving internationally
State,DC,Sector,Environment and animals,Serving internationally
State,DC,Sector,Health,Serving internationally
State,DC,Sector,Human services,Serving internationally
State,DC,Sector,"International, foreign affairs",Serving internationally
State,DC,Sector,"Public, societal benefit",Serving internationally
State,DC,Rural/Urban,Rural,Serving internationally
State,DC,Rural/Urban,Urban,Serving internationally
State,DE,"","",Serving internationally
State,DE,Size,"< $100,000",Serving internationally
State,DE,Size,"$100,000 - $499,999",Serving internationally
State,DE,Size,"$500,000 - $999,999",Serving internationally
State,DE,Size,"$1 million - $9,999,999",Serving internationally
State,DE,Size,$10 million and above,Serving internationally
State,DE,Sector,"Arts, culture, and humanities",Serving internationally
State,DE,Sector,Education,Serving internationally
State,DE,Sector,Environment and animals,Serving internationally
State,DE,Sector,Health,Serving internationally
State,DE,Sector,Human services,Serving internationally
State,DE,Sector,"International, foreign affairs",Serving internationally
State,DE,Sector,"Public, societal benefit",Serving internationally
State,DE,Rural/Urban,Rural,Serving internationally
State,DE,Rural/Urban,Urban,Serving internationally
State,FL,"","",Serving internationally
State,FL,Size,"< $100,000",Serving internationally
State,FL,Size,"$100,000 - $499,999",Serving internationally
State,FL,Size,"$500,000 - $999,999",Serving internationally
State,FL,Size,"$1 million - $9,999,999",Serving internationally
State,FL,Size,$10 million and above,Serving internationally
State,FL,Sector,"Arts, culture, and humanities",Serving internationally
State,FL,Sector,Education,Serving internationally
State,FL,Sector,Environment and animals,Serving internationally
State,FL,Sector,Health,Serving internationally
State,FL,Sector,Human services,Serving internationally
State,FL,Sector,"International, foreign affairs",Serving internationally
State,FL,Sector,"Public, societal benefit",Serving internationally
State,FL,Rural/Urban,Rural,Serving internationally
State,FL,Rural/Urban,Urban,Serving internationally
State,GA,"","",Serving internationally
State,GA,Size,"< $100,000",Serving internationally
State,GA,Size,"$100,000 - $499,999",Serving internationally
State,GA,Size,"$500,000 - $999,999",Serving internationally
State,GA,Size,"$1 million - $9,999,999",Serving internationally
State,GA,Size,$10 million and above,Serving internationally
State,GA,Sector,"Arts, culture, and humanities",Serving internationally
State,GA,Sector,Education,Serving internationally
State,GA,Sector,Environment and animals,Serving internationally
State,GA,Sector,Health,Serving internationally
State,GA,Sector,Human services,Serving internationally
State,GA,Sector,"International, foreign affairs",Serving internationally
State,GA,Sector,"Public, societal benefit",Serving internationally
State,GA,Rural/Urban,Rural,Serving internationally
State,GA,Rural/Urban,Urban,Serving internationally
State,HI,"","",Serving internationally
State,HI,Size,"< $100,000",Serving internationally
State,HI,Size,"$100,000 - $499,999",Serving internationally
State,HI,Size,"$500,000 - $999,999",Serving internationally
State,HI,Size,"$1 million - $9,999,999",Serving internationally
State,HI,Size,$10 million and above,Serving internationally
State,HI,Sector,"Arts, culture, and humanities",Serving internationally
State,HI,Sector,Education,Serving internationally
State,HI,Sector,Environment and animals,Serving internationally
State,HI,Sector,Health,Serving internationally
State,HI,Sector,Human services,Serving internationally
State,HI,Sector,"International, foreign affairs",Serving internationally
State,HI,Sector,"Public, societal benefit",Serving internationally
State,HI,Rural/Urban,Rural,Serving internationally
State,HI,Rural/Urban,Urban,Serving internationally
State,ID,"","",Serving internationally
State,ID,Size,"< $100,000",Serving internationally
State,ID,Size,"$100,000 - $499,999",Serving internationally
State,ID,Size,"$500,000 - $999,999",Serving internationally
State,ID,Size,"$1 million - $9,999,999",Serving internationally
State,ID,Size,$10 million and above,Serving internationally
State,ID,Sector,"Arts, culture, and humanities",Serving internationally
State,ID,Sector,Education,Serving internationally
State,ID,Sector,Environment and animals,Serving internationally
State,ID,Sector,Health,Serving internationally
State,ID,Sector,Human services,Serving internationally
State,ID,Sector,"International, foreign affairs",Serving internationally
State,ID,Sector,"Public, societal benefit",Serving internationally
State,ID,Rural/Urban,Rural,Serving internationally
State,ID,Rural/Urban,Urban,Serving internationally
State,IL,"","",Serving internationally
State,IL,Size,"< $100,000",Serving internationally
State,IL,Size,"$100,000 - $499,999",Serving internationally
State,IL,Size,"$500,000 - $999,999",Serving internationally
State,IL,Size,"$1 million - $9,999,999",Serving internationally
State,IL,Size,$10 million and above,Serving internationally
State,IL,Sector,"Arts, culture, and humanities",Serving internationally
State,IL,Sector,Education,Serving internationally
State,IL,Sector,Environment and animals,Serving internationally
State,IL,Sector,Health,Serving internationally
State,IL,Sector,Human services,Serving internationally
State,IL,Sector,"International, foreign affairs",Serving internationally
State,IL,Sector,"Public, societal benefit",Serving internationally
State,IL,Rural/Urban,Rural,Serving internationally
State,IL,Rural/Urban,Urban,Serving internationally
State,IN,"","",Serving internationally
State,IN,Size,"< $100,000",Serving internationally
State,IN,Size,"$100,000 - $499,999",Serving internationally
State,IN,Size,"$500,000 - $999,999",Serving internationally
State,IN,Size,"$1 million - $9,999,999",Serving internationally
State,IN,Size,$10 million and above,Serving internationally
State,IN,Sector,"Arts, culture, and humanities",Serving internationally
State,IN,Sector,Education,Serving internationally
State,IN,Sector,Environment and animals,Serving internationally
State,IN,Sector,Health,Serving internationally
State,IN,Sector,Human services,Serving internationally
State,IN,Sector,"International, foreign affairs",Serving internationally
State,IN,Sector,"Public, societal benefit",Serving internationally
State,IN,Rural/Urban,Rural,Serving internationally
State,IN,Rural/Urban,Urban,Serving internationally
State,IA,"","",Serving internationally
State,IA,Size,"< $100,000",Serving internationally
State,IA,Size,"$100,000 - $499,999",Serving internationally
State,IA,Size,"$500,000 - $999,999",Serving internationally
State,IA,Size,"$1 million - $9,999,999",Serving internationally
State,IA,Size,$10 million and above,Serving internationally
State,IA,Sector,"Arts, culture, and humanities",Serving internationally
State,IA,Sector,Education,Serving internationally
State,IA,Sector,Environment and animals,Serving internationally
State,IA,Sector,Health,Serving internationally
State,IA,Sector,Human services,Serving internationally
State,IA,Sector,"International, foreign affairs",Serving internationally
State,IA,Sector,"Public, societal benefit",Serving internationally
State,IA,Rural/Urban,Rural,Serving internationally
State,IA,Rural/Urban,Urban,Serving internationally
State,KS,"","",Serving internationally
State,KS,Size,"< $100,000",Serving internationally
State,KS,Size,"$100,000 - $499,999",Serving internationally
State,KS,Size,"$500,000 - $999,999",Serving internationally
State,KS,Size,"$1 million - $9,999,999",Serving internationally
State,KS,Size,$10 million and above,Serving internationally
State,KS,Sector,"Arts, culture, and humanities",Serving internationally
State,KS,Sector,Education,Serving internationally
State,KS,Sector,Environment and animals,Serving internationally
State,KS,Sector,Health,Serving internationally
State,KS,Sector,Human services,Serving internationally
State,KS,Sector,"International, foreign affairs",Serving internationally
State,KS,Sector,"Public, societal benefit",Serving internationally
State,KS,Rural/Urban,Rural,Serving internationally
State,KS,Rural/Urban,Urban,Serving internationally
State,KY,"","",Serving internationally
State,KY,Size,"< $100,000",Serving internationally
State,KY,Size,"$100,000 - $499,999",Serving internationally
State,KY,Size,"$500,000 - $999,999",Serving internationally
State,KY,Size,"$1 million - $9,999,999",Serving internationally
State,KY,Size,$10 million and above,Serving internationally
State,KY,Sector,"Arts, culture, and humanities",Serving internationally
State,KY,Sector,Education,Serving internationally
State,KY,Sector,Environment and animals,Serving internationally
State,KY,Sector,Health,Serving internationally
State,KY,Sector,Human services,Serving internationally
State,KY,Sector,"International, foreign affairs",Serving internationally
State,KY,Sector,"Public, societal benefit",Serving internationally
State,KY,Rural/Urban,Rural,Serving internationally
State,KY,Rural/Urban,Urban,Serving internationally
State,LA,"","",Serving internationally
State,LA,Size,"< $100,000",Serving internationally
State,LA,Size,"$100,000 - $499,999",Serving internationally
State,LA,Size,"$500,000 - $999,999",Serving internationally
State,LA,Size,"$1 million - $9,999,999",Serving internationally
State,LA,Size,$10 million and above,Serving internationally
State,LA,Sector,"Arts, culture, and humanities",Serving internationally
State,LA,Sector,Education,Serving internationally
State,LA,Sector,Environment and animals,Serving internationally
State,LA,Sector,Health,Serving internationally
State,LA,Sector,Human services,Serving internationally
State,LA,Sector,"International, foreign affairs",Serving internationally
State,LA,Sector,"Public, societal benefit",Serving internationally
State,LA,Rural/Urban,Rural,Serving internationally
State,LA,Rural/Urban,Urban,Serving internationally
State,ME,"","",Serving internationally
State,ME,Size,"< $100,000",Serving internationally
State,ME,Size,"$100,000 - $499,999",Serving internationally
State,ME,Size,"$500,000 - $999,999",Serving internationally
State,ME,Size,"$1 million - $9,999,999",Serving internationally
State,ME,Size,$10 million and above,Serving internationally
State,ME,Sector,"Arts, culture, and humanities",Serving internationally
State,ME,Sector,Education,Serving internationally
State,ME,Sector,Environment and animals,Serving internationally
State,ME,Sector,Health,Serving internationally
State,ME,Sector,Human services,Serving internationally
State,ME,Sector,"International, foreign affairs",Serving internationally
State,ME,Sector,"Public, societal benefit",Serving internationally
State,ME,Rural/Urban,Rural,Serving internationally
State,ME,Rural/Urban,Urban,Serving internationally
State,MD,"","",Serving internationally
State,MD,Size,"< $100,000",Serving internationally
State,MD,Size,"$100,000 - $499,999",Serving internationally
State,MD,Size,"$500,000 - $999,999",Serving internationally
State,MD,Size,"$1 million - $9,999,999",Serving internationally
State,MD,Size,$10 million and above,Serving internationally
State,MD,Sector,"Arts, culture, and humanities",Serving internationally
State,MD,Sector,Education,Serving internationally
State,MD,Sector,Environment and animals,Serving internationally
State,MD,Sector,Health,Serving internationally
State,MD,Sector,Human services,Serving internationally
State,MD,Sector,"International, foreign affairs",Serving internationally
State,MD,Sector,"Public, societal benefit",Serving internationally
State,MD,Rural/Urban,Rural,Serving internationally
State,MD,Rural/Urban,Urban,Serving internationally
State,MA,"","",Serving internationally
State,MA,Size,"< $100,000",Serving internationally
State,MA,Size,"$100,000 - $499,999",Serving internationally
