"","qname","group_x","group_n","group","group_levels","description","main","sub"
"96","FRchanges#1_4","X",7,"FRchanges#1","Major gifts (from individuals) (donations above the threshold you defined in the previous question)","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Major gifts (from individuals) (donations above the threshold you defined in the previous question)","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Major gifts (from individuals) (donations above the threshold you defined in the previous question)"
"97","FRchanges#1_5","X",7,"FRchanges#1","Foundation or Corporate Grants/Donations","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Foundation or Corporate Grants/Donations","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Foundation or Corporate Grants/Donations"
"98","FRchanges#1_6","X",7,"FRchanges#1","Donations from all sources with donor-imposed restrictions (i.e., restricted gifts)","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Donations from all sources with donor-imposed restrictions (i.e., restricted gifts)","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Donations from all sources with donor-imposed restrictions (i.e., restricted gifts)"
"99","FRchanges#1_7","X",7,"FRchanges#1","Donations from all sources without donor-imposed restrictions (i.e., unrestricted gifts or donations for general operating expenses)","8.c. To the best of your knowledge, has each of the following categories of donations to your org... - In 2021 compared to 2020 - Donations from all sources without donor-imposed restrictions (i.e., unrestricted gifts or donations for general operating expenses)","8.c. To the best of your knowledge, has each of the following categories of donations to your org...","In 2021 compared to 2020 - Donations from all sources without donor-imposed restrictions (i.e., unrestricted gifts or donations for general operating expenses)"
"100","FRnumberdonors_1","X",2,"FRnumberdonors","less than $250","8.d. To the best of your knowledge, please list the approximate number of donors the organization received individual donations from in 2021 (or the last fiscal year) in each of the donation size categories below. Rough estimates are fine. If you are unsure, please provide your best estimate. If you received no gifts in a size category, enter 0 for that category. - less than $250","8.d. To the best of your knowledge, please list the approximate number of donors the organization received individual donations from in 2021 (or the last fiscal year) in each of the donation size categories below. Rough estimates are fine. If you are unsure, please provide your best estimate. If you received no gifts in a size category, enter 0 for that category.","less than $250"
"101","FRnumberdonors_2","X",2,"FRnumberdonors","$250 and above","8.d. To the best of your knowledge, please list the approximate number of donors the organization received individual donations from in 2021 (or the last fiscal year) in each of the donation size categories below. Rough estimates are fine. If you are unsure, please provide your best estimate. If you received no gifts in a size category, enter 0 for that category. - $250 and above","8.d. To the best of your knowledge, please list the approximate number of donors the organization received individual donations from in 2021 (or the last fiscal year) in each of the donation size categories below. Rough estimates are fine. If you are unsure, please provide your best estimate. If you received no gifts in a size category, enter 0 for that category.","$250 and above"
"102","Funding1#1_1_1","X",13,"Funding1#1","Local government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Local government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Local government grants - (select all that apply)"
"103","Funding1#1_2_1","X",13,"Funding1#1","State government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - State government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - State government grants - (select all that apply)"
"104","Funding1#1_3_1","X",13,"Funding1#1","Federal government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Federal government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Federal government grants - (select all that apply)"
"105","Funding1#1_4_1","X",13,"Funding1#1","Local government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Local government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Local government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"106","Funding1#1_5_1","X",13,"Funding1#1","State government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - State government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - State government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"107","Funding1#1_6_1","X",13,"Funding1#1","Federal government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Federal government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Federal government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"108","Funding1#1_7_1","X",13,"Funding1#1","Grants from private foundations (independent or family foundations)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Grants from private foundations (independent or family foundations) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Grants from private foundations (independent or family foundations) - (select all that apply)"
"109","Funding1#1_8_1","X",13,"Funding1#1","Grants from community foundations (not including funding from Donor Advised Funds)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Grants from community foundations (not including funding from Donor Advised Funds) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Grants from community foundations (not including funding from Donor Advised Funds) - (select all that apply)"
"110","Funding1#1_9_1","X",13,"Funding1#1","Funding from Donor Advised Funds","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Funding from Donor Advised Funds - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Funding from Donor Advised Funds - (select all that apply)"
"111","Funding1#1_10_1","X",13,"Funding1#1","Corporate grants or donations","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Corporate grants or donations - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Corporate grants or donations - (select all that apply)"
"112","Funding1#1_11_1","X",13,"Funding1#1","Funding from United Way","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Funding from United Way - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Funding from United Way - (select all that apply)"
"113","Funding1#1_12_1","X",13,"Funding1#1","Funding from the Combined Federal Campaign","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Funding from the Combined Federal Campaign - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Funding from the Combined Federal Campaign - (select all that apply)"
"114","Funding1#1_13_1","X",13,"Funding1#1","Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you SEEK or APPLY for this funding? - Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you SEEK or APPLY for this funding? - Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.) - (select all that apply)"
"115","Funding1#2_1_1","X",13,"Funding1#2","Local government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Local government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Local government grants - (select all that apply)"
"116","Funding1#2_2_1","X",13,"Funding1#2","State government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - State government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - State government grants - (select all that apply)"
"117","Funding1#2_3_1","X",13,"Funding1#2","Federal government grants","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Federal government grants - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Federal government grants - (select all that apply)"
"118","Funding1#2_4_1","X",13,"Funding1#2","Local government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Local government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Local government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"119","Funding1#2_5_1","X",13,"Funding1#2","State government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - State government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - State government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"120","Funding1#2_6_1","X",13,"Funding1#2","Federal government contracts or fee-for-service payments (other than Medicare/Medicaid)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Federal government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Federal government contracts or fee-for-service payments (other than Medicare/Medicaid) - (select all that apply)"
"121","Funding1#2_7_1","X",13,"Funding1#2","Grants from private foundations (independent or family foundations)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Grants from private foundations (independent or family foundations) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Grants from private foundations (independent or family foundations) - (select all that apply)"
"122","Funding1#2_8_1","X",13,"Funding1#2","Grants from community foundations (not including funding from Donor Advised Funds)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Grants from community foundations (not including funding from Donor Advised Funds) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Grants from community foundations (not including funding from Donor Advised Funds) - (select all that apply)"
"123","Funding1#2_9_1","X",13,"Funding1#2","Funding from Donor Advised Funds","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Funding from Donor Advised Funds - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Funding from Donor Advised Funds - (select all that apply)"
"124","Funding1#2_10_1","X",13,"Funding1#2","Corporate grants or donations","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Corporate grants or donations - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Corporate grants or donations - (select all that apply)"
"125","Funding1#2_11_1","X",13,"Funding1#2","Funding from United Way","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Funding from United Way - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Funding from United Way - (select all that apply)"
"126","Funding1#2_12_1","X",13,"Funding1#2","Funding from the Combined Federal Campaign","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Funding from the Combined Federal Campaign - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Funding from the Combined Federal Campaign - (select all that apply)"
"127","Funding1#2_13_1","X",13,"Funding1#2","Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi... - Did you RECEIVE this funding? - Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.) - (select all that apply)","9. In the last year (2021), did your organization seek or receive revenue from any of the followi...","Did you RECEIVE this funding? - Funding from other federated giving programs (e.g., Funding from Catholic Charities, Jewish Federations, etc.) - (select all that apply)"
"128","Finances_1","X",9,"Finances","Government agencies (federal, state, or local, including grants and contracts)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Government agencies (federal, state, or local, including grants and contracts)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Government agencies (federal, state, or local, including grants and contracts)"
"129","Finances_17","X",9,"Finances","Click to write Choice 8","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Click to write Choice 8","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Click to write Choice 8"
"130","Finances_2","X",9,"Finances","Fees from government as third-party payer (e.g., Medicaid)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Fees from government as third-party payer (e.g., Medicaid)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Fees from government as third-party payer (e.g., Medicaid)"
"131","Finances_4","X",9,"Finances","Individual donations (including donations from federated giving programs,  United Way, and donor advised funds, but not including in-kind gifts)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Individual donations (including donations from federated giving programs,  United Way, and donor advised funds, but not including in-kind gifts)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Individual donations (including donations from federated giving programs,  United Way, and donor advised funds, but not including in-kind gifts)"
"132","Finances_5","X",9,"Finances","In-kind gifts (estimated value of donated goods, assets, or services)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - In-kind gifts (estimated value of donated goods, assets, or services)","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","In-kind gifts (estimated value of donated goods, assets, or services)"
"133","Finances_6","X",9,"Finances","Private foundation or corporate foundation grants","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Private foundation or corporate foundation grants","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Private foundation or corporate foundation grants"
"134","Finances_7","X",9,"Finances","Corporate sponsorships","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Corporate sponsorships","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Corporate sponsorships"
"135","Finances_8","X",9,"Finances","Other (please list):","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Other (please list):","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Other (please list):"
"136","Finances_8_TEXT","X",9,"Finances","Other (please list): - Text","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue. - Other (please list): - Text","10. In the last year (2021), what was the approximate breakdown of your organization’s revenue in total dollars? The total row should add to your organization's approximate total revenue.","Other (please list): - Text"
"137","FinancesTimer_First Click","X",4,"FinancesTimer","First Click","Timing - First Click","Timing","First Click"
"138","FinancesTimer_Last Click","X",4,"FinancesTimer","Last Click","Timing - Last Click","Timing","Last Click"
"139","FinancesTimer_Page Submit","X",4,"FinancesTimer","Page Submit","Timing - Page Submit","Timing","Page Submit"
"140","FinancesTimer_Click Count","X",4,"FinancesTimer","Click Count","Timing - Click Count","Timing","Click Count"
"141","Reserves#1_1_1","",1,"Reserves#1",NA,"11. Approximately how much total operating cash and unrestricted liquid assets in reserve did you... - January 2022 - Total operating cash and unrestricted liquid assets in reserve  - ($, best estimate)","11. Approximately how much total operating cash and unrestricted liquid assets in reserve did you...","January 2022 - Total operating cash and unrestricted liquid assets in reserve  - ($, best estimate)"
"142","Reserves#2_1_1","",1,"Reserves#2",NA,"11. Approximately how much total operating cash and unrestricted liquid assets in reserve did you... - Select here if your organization does not have a reserve fund - Total operating cash and unrestricted liquid assets in reserve - C","11. Approximately how much total operating cash and unrestricted liquid assets in reserve did you...","Select here if your organization does not have a reserve fund - Total operating cash and unrestricted liquid assets in reserve - C"
"143","CARESfunding","",1,"CARESfunding",NA,"12. Between March 2020 and now, did your organization receive any government funding to help your organization during the COVID-19 pandemic (including funding from the Coronavirus Aid, Relief, and Economic Security (CARES) Act of 2020, the American Rescue Plan Act of 2021, Paycheck Protection Program Loans, or state or local government programs)?","12. Between March 2020 and now, did your organization receive any government funding to help your organization during the COVID-19 pandemic (including funding from the Coronavirus Aid, Relief, and Economic Security (CARES) Act of 2020, the American Rescue Plan Act of 2021, Paycheck Protection Program Loans, or state or local government programs)?",""
"144","CARESfunding2_1","",1,"CARESfunding2",NA,"13. What is the approximate total amount of COVID pandemic relief funding your organization received from all government sources (between March 2020 and now)? (estimates are fine) - Total amount from all government sources $","13. What is the approximate total amount of COVID pandemic relief funding your organization received from all government sources (between March 2020 and now)? (estimates are fine)","Total amount from all government sources $"
"145","FinanceChanges_1","X",8,"FinanceChanges","Drew on reserves","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Drew on reserves","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Drew on reserves"
"146","FinanceChanges_2","X",8,"FinanceChanges","Borrowed funds or increased lines of credit","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Borrowed funds or increased lines of credit","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Borrowed funds or increased lines of credit"
"147","FinanceChanges_3","X",8,"FinanceChanges","Reduced or paused health, retirement, or other staff benefits","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Reduced or paused health, retirement, or other staff benefits","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Reduced or paused health, retirement, or other staff benefits"
"148","FinanceChanges_4","X",8,"FinanceChanges","Increased health, retirement, or other staff benefits","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Increased health, retirement, or other staff benefits","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Increased health, retirement, or other staff benefits"
"149","FinanceChanges_5","X",8,"FinanceChanges","Increased overall expenses","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Increased overall expenses","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Increased overall expenses"
"150","FinanceChanges_6","X",8,"FinanceChanges","Decreased overall expenses","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Decreased overall expenses","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Decreased overall expenses"
"151","FinanceChanges_7","X",8,"FinanceChanges","Other (please list):","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Other (please list):","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Other (please list):"
"152","FinanceChanges_7_TEXT","X",8,"FinanceChanges","Other (please list): - Text","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020? - Other (please list): - Text","14. In the last year (between January 2021-December 2021), did your organization make any of the following changes to your Finances, as compared to 2020?","Other (please list): - Text"
"153","LeadershipChanges_1","X",11,"LeadershipChanges","Executive Director or CEO retired","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Executive Director or CEO retired","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Executive Director or CEO retired"
"154","LeadershipChanges_2","X",11,"LeadershipChanges","Executive Director or CEO resigned (voluntarily left the organization or stepped down)","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Executive Director or CEO resigned (voluntarily left the organization or stepped down)","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Executive Director or CEO resigned (voluntarily left the organization or stepped down)"
"155","LeadershipChanges_3","X",11,"LeadershipChanges","Executive Director or CEO was terminated or let go (involuntarily left the organization)","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Executive Director or CEO was terminated or let go (involuntarily left the organization)","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Executive Director or CEO was terminated or let go (involuntarily left the organization)"
"156","LeadershipChanges_4","X",11,"LeadershipChanges","Hired or appointed a new Executive Director or CEO","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Hired or appointed a new Executive Director or CEO","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Hired or appointed a new Executive Director or CEO"
"157","LeadershipChanges_5","X",11,"LeadershipChanges","Hired or appointed an Interim Executive Director or CEO","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Hired or appointed an Interim Executive Director or CEO","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Hired or appointed an Interim Executive Director or CEO"
"158","LeadershipChanges_6","X",11,"LeadershipChanges","Changed to a new Board Chair","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Changed to a new Board Chair","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Changed to a new Board Chair"
"159","LeadershipChanges_7","X",11,"LeadershipChanges","Lost or removed Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Lost or removed Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Lost or removed Board Members"
"160","LeadershipChanges_8","X",11,"LeadershipChanges","Replaced existing Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Replaced existing Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Replaced existing Board Members"
"161","LeadershipChanges_9","X",11,"LeadershipChanges","Added new Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Added new Board Members","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Added new Board Members"
"162","LeadershipChanges_10","X",11,"LeadershipChanges","Other (please list):","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Other (please list):","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Other (please list):"
"163","LeadershipChanges_10_TEXT","X",11,"LeadershipChanges","Other (please list): - Text","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership? - Other (please list): - Text","15. In the last year (between January 2021-December 2021), did your organization experience any of the following changes to your leadership?","Other (please list): - Text"
"164","CEOrace_1","X",7,"CEOrace","Selected Choice - Asian/Pacific Islander","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - Asian/Pacific Islander","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - Asian/Pacific Islander"
"165","CEOrace_2","X",7,"CEOrace","Selected Choice - Black/African American","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - Black/African American","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - Black/African American"
"166","CEOrace_3","X",7,"CEOrace","Selected Choice - Latinx/Hispanic","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - Latinx/Hispanic","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - Latinx/Hispanic"
"167","CEOrace_4","X",7,"CEOrace","Selected Choice - Native American/American Indian","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - Native American/American Indian","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - Native American/American Indian"
"168","CEOrace_5","X",7,"CEOrace","Selected Choice - White","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - White","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - White"
"169","CEOrace_7","X",7,"CEOrace","Selected Choice - Other (please specify):","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Selected Choice - Other (please specify):","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Selected Choice - Other (please specify):"
"170","CEOrace_7_TEXT","X",7,"CEOrace","Other (please specify): - Text","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply) - Other (please specify): - Text","15.a. Which of the following best describes the race/ethnicity for your organization’s current Chief Executive (i.e., Executive Director or CEO)? (Select all that apply)","Other (please specify): - Text"
"171","CEOgender_1","X",6,"CEOgender","Selected Choice - Man","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Selected Choice - Man","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Selected Choice - Man"
"172","CEOgender_2","X",6,"CEOgender","Selected Choice - Woman","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Selected Choice - Woman","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Selected Choice - Woman"
"173","CEOgender_3","X",6,"CEOgender","Selected Choice - Trans","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Selected Choice - Trans","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Selected Choice - Trans"
"174","CEOgender_4","X",6,"CEOgender","Selected Choice - Gender non-conforming/Non-Binary","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Selected Choice - Gender non-conforming/Non-Binary","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Selected Choice - Gender non-conforming/Non-Binary"
"175","CEOgender_5","X",6,"CEOgender","Selected Choice - Other (please specify):","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Selected Choice - Other (please specify):","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Selected Choice - Other (please specify):"
"176","CEOgender_5_TEXT","X",6,"CEOgender","Other (please specify): - Text","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply) - Other (please specify): - Text","15.b. Which of the following best describes the gender identity for your organization’s current Chief Executive? (Select all that apply)","Other (please specify): - Text"
